genre
country
classical
rap
blues
dance
pop
reggae
rock
hip hop
rock
pop
rock
r&b
pop
punk
edm
rock
chanson
rock
pop
pop
edm
pop
blues
reggae
rock
rock
soul
electro
dance
electro
rock
rock
rap
metal
rock
pop
hip hop
rock
pop
salsa
jazz
rock
rap
disco
hip hop
rock
folk
country
edm
hip hop
jazz
punk
punk
disco
pop
jazz
country
rap
electro
pop
pop
pop
rock
hip hop
techno
hip hop
rock
rock
pop
pop
rock
rap
rock
rock
disco
hip hop
rock
electro
chanson
pop
rap
country
techno
electro
hip hop
edm
pop
pop
chanson
rock
folk
rock
rap
rock
soul
rap
dance
punk
country
r&b
pop
rock
techno
punk
rock
rock
rock
soul
rock
salsa
hip hop
hip hop
edm
hip hop
pop
techno
pop
pop
punk
jazz
hip hop
punk
edm
hip hop
pop
pop
country
hip hop
pop
rock
dance
rock
folk
metal
hip hop
hip hop
electro
rock
pop
pop
edm
pop
hip hop
blues
rock
metal
punk
pop
rock
hip hop
pop
r&b
edm
rap
metal
folk
rap
dance
pop
punk
blues
punk
punk
classical
rock
hip hop
rock
pop
electro
dance
folk
pop
pop
hip hop
rock
rap
rock
rock
country
pop
rap
rock
chanson
r&b
rap
edm
hip hop
pop
pop
country
edm
pop
pop
electro
hip hop
hip hop
rap
rock
hip hop
country
edm
rock
hip hop
pop
disco
electro
rock
rock
electro
punk
pop
pop
classical
rock
jazz
pop
techno
soul
rap
salsa
rock
edm
salsa
dance
rock
hip hop
country
rock
rap
pop
jazz
electro
pop
hip hop
hip hop
pop
pop
pop
pop
pop
pop
pop
metal
techno
pop
hip hop
country
pop
dance
rap
rap
rock
rock
soul
pop
hip hop
techno
edm
pop
punk
dance
soul
jazz
country
pop
pop
rock
dance
hip hop
soul
pop
hip hop
pop
rap
rock
country
metal
pop
rap
electro
latin
edm
pop
dance
rock
folk
hip hop
rock
pop
country
rock
blues
jazz
jazz
pop
hip hop
hip hop
chanson
dance
edm
soul
jazz
pop
pop
hip hop
pop
pop
edm
punk
dance
pop
pop
rock
dance
edm
hip hop
pop
rock
folk
dance
rock
edm
